name,pclass,sex,age,sibsp,parch,fare,embarked,survived
"Abbott, Mr. Rossmore Edward",3,1,16,1,1,20.2500,S,0
"Abelseth, Miss. Karen Marie",3,0,16,0,0,7.6500,S,1
"Abelson, Mrs. Samuel (Hannah Wizosky)",2,0,28,1,0,24.0000,C,1
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",3,0,40,1,0,9.4750,S,0
"Aks, Master. Philip Frank",3,1,0.8333,0,1,9.3500,S,1
"Aks, Mrs. Sam (Leah Rosen)",3,0,18,0,1,9.3500,S,1
"Aldworth, Mr. Charles Augustus",2,1,30,0,0,13.0000,S,0
"Ali, Mr. Ahmed",3,1,24,0,0,7.0500,S,0
"Allison, Master. Hudson Trevor",1,1,0.9167,1,2,151.5500,S,1
"Allison, Miss. Helen Loraine",1,0,2,1,2,151.5500,S,0
"Allison, Mr. Hudson Joshua Creighton",1,1,30,1,2,151.5500,S,0
"Andersen, Mr. Albert Karvin",3,1,32,0,0,22.5250,S,0
"Anderson, Mr. Harry",1,1,48,0,0,26.5500,S,1
"Andersson, Miss. Ebba Iris Alfrida",3,0,6,4,2,31.2750,S,0
"Andersson, Miss. Ellis Anna Maria",3,0,2,4,2,31.2750,S,0
"Andersson, Miss. Ingeborg Constanzia",3,0,9,4,2,31.2750,S,0
"Andersson, Miss. Sigrid Elisabeth",3,0,11,4,2,31.2750,S,0
"Andersson, Mr. August Edvard (""Wennerstrom"")",3,1,27,0,0,7.7958,S,1
"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",3,0,39,1,5,31.2750,S,0
"Andreasson, Mr. Paul Edvin",3,1,20,0,0,7.8542,S,0
"Andrew, Mr. Edgardo Samuel",2,1,18,0,0,11.5000,S,0
"Andrew, Mr. Frank Thomas",2,1,25,0,0,10.5000,S,0
"Angheloff, Mr. Minko",3,1,26,0,0,7.8958,S,0
"Arnold-Franchi, Mr. Josef",3,1,25,1,0,17.8000,S,0
"Artagaveytia, Mr. Ramon",1,1,71,0,0,49.5042,C,0
"Asim, Mr. Adola",3,1,35,0,0,7.0500,S,0
"Asplund, Master. Clarence Gustaf Hugo",3,1,9,4,2,31.3875,S,0
"Asplund, Master. Edvin Rojj Felix",3,1,3,4,2,31.3875,S,1
"Asplund, Master. Filip Oscar",3,1,13,4,2,31.3875,S,0
"Asplund, Miss. Lillian Gertrud",3,0,5,4,2,31.3875,S,1
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",3,0,38,1,5,31.3875,S,1
"Astor, Col. John Jacob",1,1,47,1,0,227.5250,C,0
"Attalah, Miss. Malake",3,0,17,0,0,14.4583,C,0
"Augustsson, Mr. Albert",3,1,23,0,0,7.8542,S,0
"Ayoub, Miss. Banoura",3,0,13,0,0,7.2292,C,1
"Baclini, Miss. Helene Barbara",3,0,0.75,2,1,19.2583,C,1
"Badman, Miss. Emily Louisa",3,0,18,0,0,8.0500,S,1
"Badt, Mr. Mohamed",3,1,40,0,0,7.2250,C,0
"Ball, Mrs. (Ada E Hall)",2,0,36,0,0,13.0000,S,1
"Banfield, Mr. Frederick James",2,1,28,0,0,10.5000,S,0
"Barah, Mr. Hanna Assi",3,1,20,0,0,7.2292,C,1
"Barbara, Mrs. (Catherine David)",3,0,45,0,1,14.4542,C,0
"Barber, Miss. Ellen ""Nellie""",1,0,26,0,0,78.8500,S,1
"Barkworth, Mr. Algernon Henry Wilson",1,1,80,0,0,30.0000,S,1
"Barry, Miss. Julia",3,0,27,0,0,7.8792,Q,0
"Baumann, Mr. John D",1,1,,0,0,25.9250,S,0
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",1,0,50,0,1,247.5208,C,1
"Beattie, Mr. Thomson",1,1,36,0,0,75.2417,C,0
"Beavan, Mr. William Thomas",3,1,19,0,0,8.0500,S,0
"Becker, Miss. Ruth Elizabeth",2,0,12,2,1,39.0000,S,1
"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",2,0,36,0,3,39.0000,S,1
"Beesley, Mr. Lawrence",2,1,34,0,0,13.0000,S,1
"Bengtsson, Mr. John Viktor",3,1,26,0,0,7.7750,S,0
"Berriman, Mr. William John",2,1,23,0,0,13.0000,S,0
"Betros, Master. Seman",3,1,,0,0,7.2292,C,0
"Bidois, Miss. Rosalie",1,0,42,0,0,227.5250,C,1
"Bing, Mr. Lee",3,1,32,0,0,56.4958,S,1
"Bird, Miss. Ellen",1,0,29,0,0,221.7792,S,1
"Birnbaum, Mr. Jakob",1,1,25,0,0,26.0000,C,0
"Bissette, Miss. Amelia",1,0,35,0,0,135.6333,S,1
"Bjorklund, Mr. Ernst Herbert",3,1,18,0,0,7.7500,S,0
"Bjornstrom-Steffansson, Mr. Mauritz Hakan",1,1,28,0,0,26.5500,S,1
"Blackwell, Mr. Stephen Weart",1,1,45,0,0,35.5000,S,0
"Bonnell, Miss. Caroline",1,0,30,0,0,164.8667,S,1
"Borebank, Mr. John James",1,1,42,0,0,26.5500,S,0
"Bostandyeff, Mr. Guentcho",3,1,26,0,0,7.8958,S,0
"Botsford, Mr. William Hull",2,1,26,0,0,13.0000,S,0
"Boulos, Mrs. Joseph (Sultana)",3,0,,0,2,15.2458,C,0
"Bourke, Mrs. John (Catherine)",3,0,32,1,1,15.5000,Q,0
"Bowenur, Mr. Solomon",2,1,42,0,0,13.0000,S,0
"Bradley, Mr. George (""George Arthur Brayton"")",1,1,,0,0,26.5500,S,1
"Braf, Miss. Elin Ester Maria",3,0,20,0,0,7.8542,S,0
"Brandeis, Mr. Emil",1,1,48,0,0,50.4958,C,0
"Braund, Mr. Lewis Richard",3,1,29,1,0,7.0458,S,0
"Braund, Mr. Owen Harris",3,1,22,1,0,7.2500,S,0
